gene_id,091304_G,091305_G,091301_G,090902_G,042008_G,042005_G,042004_G,042002_G,042001_G
g14420.t1,85194,84920,119628,74669,15522,30163,10682,65581,3392
g14421.t1,0,0,0,22,8,0,0,0,0
g14422.t1,607,88,22,455,43,823,579,1115,79
g14423.t1,0,0,0,0,0,0,0,0,0
g14424.t1,209,84,1436,993,782,969,1066,1022,73
g14425.t1,247,166,537,141,277,395,573,519,455
g14426.t1,504,348,1112,618,1466,1615,1806,1363,1868
g14427.t1,983,530,2112,1193,1655,2046,2128,1430,2834
g14428.t1,284,134,896,156,375,804,1075,508,1068
g14429.t1,644,1042,540,1102,565,1249,1355,1578,1439
g1443.t1,2261,1262,3764,2661,2917,3516,3619,2787,2929
g14430.t1,331,300,849,425,848,873,591,649,153
g14431.t1,6213,1787,12755,4285,5703,6667,4385,5164,15569
g14432.t1,0,225,4,98,0,1,2,38,36
g14433.t1,0,0,0,12,0,7,0,0,0
g14434.t1,1026,485,1051,1298,662,896,692,867,690
g14435.t1,0,0,0,0,0,0,0,0,0
g14436.t1,0,0,0,0,31,13,12,8,0
g14437.t1,0,0,0,0,0,0,0,0,0
g14438.t1,0,0,0,0,0,0,0,0,0
g14439.t1,0,0,0,0,0,0,0,0,0
g1444.t1,0,0,0,15,0,0,8,8,6
g14440.t1,0,0,0,0,0,0,0,0,0
g14440.t2,0,0,0,0,0,0,0,0,0
g14441.t1,28,0,518,117,206,73,0,257,3503
g14442.t1,0,0,0,0,8,0,0,3,119
g14443.t1,0,0,0,0,5,1,0,0,14
g14444.t1,0,0,16,0,0,0,0,0,0
g14445.t1,0,0,0,0,0,0,0,0,0
g14446.t1,0,0,0,22,78,10,113,5,560
g14447.t1,0,0,0,0,79,12,134,7,907
g14448.t1,0,0,0,0,0,0,0,0,0
g14448.t2,0,0,0,0,0,0,0,0,0
g14449.t1,0,0,0,0,0,0,0,0,0
g1445.t1,0,0,0,1,0,0,0,0,0
g14450.t1,24869,21569,49492,38779,83998,39178,45799,44540,124142
g14451.t1,105,0,227,208,410,327,719,293,826
g14452.t1,791,1204,2633,1695,3090,2724,3290,2120,2428
g14453.t1,374,3,362,436,1201,528,846,660,3130
g14454.t1,46,97,366,302,1879,651,346,526,2862
g14455.t1,0,0,0,62,0,0,0,0,0
g14456.t1,0,0,0,7,8,12,22,6,0
g14457.t1,956,662,1537,682,1558,1046,1431,1078,2026
g14458.t1,1261,649,1668,1414,1453,1541,1849,1905,2430
g14459.t1,0,0,0,8,0,2,0,0,2
g1446.t1,0,0,0,0,445,0,14,0,24
g14460.t1,0,0,0,0,0,0,0,0,0
g14461.t1,0,0,0,0,0,0,0,0,0
