"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g967.t1",578.573301818497,-2.57712505066972,0.594939884326104,-4.33174026244494,1.4793539767989e-05,0.00138024928762148
"g1956.t1",18.623105011619,7.61031955549788,1.75915500718597,4.32612221459194,1.51757244479446e-05,0.00140448882068236
"g159.t1",2898.81110517469,3.47621035033651,0.805158872651551,4.31742165231148,1.57862415423957e-05,0.00144285075205227
"g3962.t1",811.076388042561,-9.25915906755922,2.1449884787339,-4.31664745958195,1.5841686542226e-05,0.00144285075205227
"g12943.t1",2473.73648256732,-3.65284473751792,0.846848538337451,-4.31345697861066,1.60721426751747e-05,0.00145231424677405
"g12842.t1",1124.42925367409,-2.36675389678495,0.549349500234615,-4.30828442689792,1.64525725366437e-05,0.00147183514532614
"g8273.t1",7.22748849420679,6.24485854117743,1.44991575154041,4.30704924375282,1.65446787859073e-05,0.00147183514532614
"g15618.t1",2216.36599962553,3.32534357775122,0.773587388673768,4.2986010713698,1.71879518155946e-05,0.0015172995002751
"g11529.t1",22.2449010812116,-7.40341078434209,1.72364172608515,-4.29521441277544,1.74524576340356e-05,0.00152888857868849
"g6013.t1",10479.1632341986,-4.04335038821818,0.943921723650775,-4.28356534965616,1.83922045123039e-05,0.00159900711350909
"g5150.t1",1238.37819371803,-2.69176258466167,0.629341715182535,-4.27710815877023,1.89336824423442e-05,0.00163370631359656
"g5867.t1",1990.22312051215,1.33671149994572,0.312900220969528,4.27200561189728,1.93722699973538e-05,0.00165907589917636
"g8914.t1",4844.28776862655,-2.26584960629614,0.532673046661991,-4.25373429441406,2.1023474685925e-05,0.00178715107774575
"g3285.t1",17.2614004982246,7.50130190124973,1.76837388125557,4.24192077295537,2.2161492987784e-05,0.00187003892299859
"g11163.t1",32.3355435750078,6.29478390907334,1.48474334944814,4.23964445532828,2.23874090091883e-05,0.00187531318094486
"g11006.t1",4413.30274062325,-2.11337931814073,0.500507738112973,-4.22247081755149,2.41638692916934e-05,0.00200945336225705
"g13220.t1",12.1730411118128,5.4377857830203,1.28937645947316,4.21737634735644,2.47161274065011e-05,0.00204059192889933
"g16989.t1",1309.05451935956,1.83157796815719,0.434998972438607,4.21053401089513,2.54767764166889e-05,0.00208836775827087
"g15524.t1",15039.5143071503,-0.820235444026267,0.195597631420732,-4.19348352057461,2.74703041755081e-05,0.00223581000509313
"g6214.t1",103.411762019071,7.60288244053916,1.81523132973308,4.18838211747762,2.80950181089165e-05,0.00227055230857694
"g7201.t1",23.154402347243,7.92495274021852,1.8938480293724,4.18457691288184,2.85697705875776e-05,0.00229277403680448
"g17180.t1",34.9834867126277,8.5201075982712,2.04430714985633,4.16772381726982,3.07656374553967e-05,0.00245185038498703
"g11729.t1",7965.39296106928,2.11016884344877,0.507499406679492,4.15797302553585,3.21083926393055e-05,0.00248970212113966
"g13344.t1",229.709022597631,-2.96871721354369,0.713842402741229,-4.15878519144212,3.19944596335865e-05,0.00248970212113966
"g17679.t1",140.768364855225,10.5281822206097,2.52951287907935,4.16213821549768,3.1528141218848e-05,0.00248970212113966
"g6320.t1",2333.46232451704,-0.719920719591446,0.173122125716038,-4.1584558681557,3.20406116912482e-05,0.00248970212113966
"g2461.t1",214.822997806521,-2.58148941572149,0.621358317105985,-4.15459058751307,3.25870497484954e-05,0.00250985894572975
"g7841.t1",4037.23104845307,-1.22686808034751,0.295894919373268,-4.14629653981936,3.37896158114165e-05,0.00258513087367877
"g16211.t1",5928.90485756646,4.15072912520571,1.00325623649922,4.13725723718333,3.5148199913303e-05,0.00267126319341103
"g10474.t1",316.59365443359,-2.92591689938106,0.707598571759994,-4.13499548494494,3.54961614130832e-05,0.00267996018668778
"g1124.t1",429.270293368169,-1.62135698794074,0.392341565771334,-4.13251393528288,3.58817004921714e-05,0.0026913620578311
"g10501.t1",1397.64710619686,2.92912975381457,0.709354693988887,4.12928789875669,3.63888517410573e-05,0.00271167832844398
"g13716.t1",6059.38391851813,-1.58828495044336,0.386319549245316,-4.11132430017096,3.93396182299556e-05,0.0029126545729482
"g1581.t1",248.601316250831,-11.6080448696918,2.83293517141045,-4.09753282985026,4.17576959475413e-05,0.00305230139295531
"g5224.t1",2324.39247924148,0.973060438772632,0.237399413642122,4.09883252803444,4.15239343566719e-05,0.00305230139295531
"g7469.t1",19.1450615687624,5.50133044028907,1.34446105072025,4.09184813300608,4.27948888031584e-05,0.00309068394242892
"g8508.t1",161.513443606656,-5.21993075950221,1.27573506686474,-4.09170437897484,4.28214314086963e-05,0.00309068394242892
"g11206.t1",7216.16443962456,-2.46045947753451,0.602106588034692,-4.0864184621623,4.38083345845365e-05,0.00314215279807588
"g5191.t1",215.323958833598,-3.30195853886026,0.809617837898334,-4.07841624071886,4.53435323240869e-05,0.00323206445311318
"g9205.t1",389.901692936919,0.769416986147073,0.189611958674277,4.05785052549774,4.95264487129822e-05,0.00350842916932212
"g14653.t1",1191.33866558826,-2.23228413776908,0.550695754951906,-4.05357062896559,5.04417613508929e-05,0.00355134756602974
"g11605.t1",2655.43045817917,-2.78080357271246,0.687811200659068,-4.04297512173089,5.27772224315171e-05,0.0036931183208786
"g5871.t1",9052.17595067201,-1.82129855701846,0.451021470188185,-4.03816376248903,5.38712409506377e-05,0.0037468264312092
"g8252.t1",18.6495223088368,7.61281885551215,1.89049201225874,4.02689818637023,5.65174903384837e-05,0.00390719710315927
"g13681.t1",1150.52530895969,1.1094701066174,0.276205085165476,4.01683446904213,5.89851253273531e-05,0.00402924582295657
"g9935.t1",30.4135826082067,-6.63285205675976,1.65126160631218,-4.01683902260232,5.89839860609018e-05,0.00402924582295657
"g12109.t1",904.009447912049,-2.47632574137993,0.619588821221001,-3.99672437036538,6.42250076178288e-05,0.0043355658083659
"g7116.t1",288.263356164003,-5.52083955873817,1.38131687710779,-3.99679439977431,6.42060190630086e-05,0.0043355658083659
"g5281.t1",32.6432849878289,4.55919147209135,1.1439021166585,3.98564825232546,6.72961432823581e-05,0.00451631894917159
"g16904.t1",22737.0789720529,3.97047163192749,0.99739375293343,3.98084670196695,6.86702266019544e-05,0.00458174139816296
"g10638.t1",962.914334494367,-1.88116556950733,0.473161146137299,-3.97573973447402,7.01608245638189e-05,0.00462881929066767
"g13315.t1",822.33832181361,4.98233489157792,1.25321408779578,3.97564545443398,7.01886282228479e-05,0.00462881929066767
"g2578.t1",9037.42385966497,-2.53198890238331,0.637090163049279,-3.97430230324787,7.05858640525307e-05,0.00462881929066767
"g4252.t1",38831.8442720135,-2.56887715464555,0.647389241265137,-3.96805660474897,7.24611249441454e-05,0.00472479471510802
"g10851.t1",44056.0564558045,-1.20910128057717,0.305397875013057,-3.95910181275975,7.52321624724363e-05,0.00483505668432391
"g13831.t1",192.773836527731,2.41558087749957,0.610223464590422,3.95851850620148,7.54160985094092e-05,0.00483505668432391
"g7316.t1",358.945832482188,-3.57851236086353,0.903850373008316,-3.95918668369085,7.52054352132902e-05,0.00483505668432391
"g8287.t1",1390.05586228712,-2.51480345365766,0.637073037527055,-3.94743350530018,7.89934477180548e-05,0.00500844644205744
"g9090.t1",3487.77545063354,-0.833370087462248,0.211068819003467,-3.94833349329803,7.86971236191398e-05,0.00500844644205744
"g11526.t1",968.218968408041,-6.70857837089864,1.70061629957114,-3.94479246881875,7.98691192295046e-05,0.00500888887331317
"g13392.t1",858.713800940373,-4.09426482670527,1.03789440394846,-3.94477974939402,7.98733586455482e-05,0.00500888887331317
"g11418.t1",14.3207783178007,7.23174133198827,1.8349363286116,3.94114020155683,8.10952069604435e-05,0.00505787279933723
"g6173.t1",7248.05678998816,3.28759965687551,0.83637014702036,3.93079507749991,8.46654126884662e-05,0.00525200149196129
"g14094.t1",24342.1334224969,-0.814413294437638,0.207433359320058,-3.92614426680062,8.63183956311431e-05,0.00532575219496236
"g7465.t1",7708.2636942874,-2.69414816913846,0.687914168133481,-3.9164016296517,8.98804656849462e-05,0.00551587285668686
"g10613.t1",2164.70613781816,-1.85265664078388,0.473444964580134,-3.913140447965,9.11035107960057e-05,0.00555660255746732
"g5045.t1",169.991942854257,-6.89106015864957,1.76149186861226,-3.91205902305896,9.15125377624018e-05,0.00555660255746732
"g228.t1",6386.92883805813,2.95717097578095,0.756926195100707,3.90681547939757,9.35205153099182e-05,0.00562493124735616
"g9624.t1",135.054842659248,-10.7275832198218,2.74604109763353,-3.90656324447095,9.361814815659e-05,0.00562493124735616
"g17861.t1",303.277952439047,-3.19405612011786,0.81925317695034,-3.89874120721472,9.66940497096987e-05,0.00569059973483379
"g2466.t1",140.568177354933,-1.16022253382809,0.297357728507125,-3.90177359657996,9.54904505722203e-05,0.00569059973483379
"g3693.t1",9355.43218038185,-0.874774292101403,0.224253217402088,-3.90083273825645,9.58623687275585e-05,0.00569059973483379
"g9294.t1",5581.23878985988,-2.47456564512249,0.63470908927337,-3.89873989035738,9.66945754873291e-05,0.00569059973483379
"g13090.t1",2274.56262612139,-1.87775038670628,0.481810099060515,-3.89728316273926,9.72778547564776e-05,0.00569571765910886
"g18313.t1",8.54706925506722,6.48796642503066,1.66631481883547,3.89360182823368,9.8766715366708e-05,0.00575353718552458
"g6584.t2",2420.96279541865,-2.65263233310604,0.682066451387768,-3.88911128484454,0.00010061197797137,0.00580212592562532
"g9436.t1",525.690276517119,-2.8946046381603,0.744241253074163,-3.88933645669848,0.000100518680154961,0.00580212592562532
"g7229.t1",266.965364595903,-3.5724766398945,0.919339955904839,-3.88591469015221,0.00010194530508214,0.00584962160561321
"g9385.t1",4930.53722901395,-1.66559126185024,0.428865413802578,-3.8837155159753,0.000102872264482956,0.00587344331943482
"g10340.t1",4389.14304108152,-1.11381121142874,0.28730360780802,-3.87677418994684,0.000105850511602377,0.00596998669916114
"g14835.t1",148.169913174714,-10.8613624237218,2.80127201252981,-3.87729659067023,0.000105623568952975,0.00596998669916114
"g15659.t1",106445.752040985,-1.51201024951845,0.390080790409007,-3.87614639504056,0.000106123848608302,0.00596998669916114
"g11157.t1",5.55949589147124,5.86486184783354,1.51411560006528,3.87345711752833,0.000107302294346047,0.00597767538793801
"g17822.t1",177.342949199763,-2.71785932544271,0.701657523070334,-3.87348419432578,0.000107290367955424,0.00597767538793801
"g4303.t1",40237.7537848595,-2.09060256850855,0.540473103738191,-3.86809732815354,0.000109687886050198,0.00608105401116943
"g8332.t1",264.383101655434,-3.1692746579037,0.820915740864848,-3.86065767793028,0.000113082238990106,0.00623909507043489
"g7589.t1",1008.98932793499,1.16136983610289,0.300949967452716,3.85901299785109,0.000113845883392189,0.00625117396080749
"g1101.t1",4.57872855266633,5.58601602092939,1.44899286954289,3.85510249107823,0.00011568115506514,0.00632169969298831
"g9054.t1",582.22767964652,-4.21903011438906,1.09514611996623,-3.85248145199032,0.000116926836165581,0.00635948991391567
"g10672.t1",1080.80382081192,-4.5386187112616,1.17852539176254,-3.85109963941794,0.000117588641329111,0.00636531720704187
"g11285.t1",873.941955659755,-2.53013990537465,0.65766259156154,-3.84717017181582,0.00011948997771629,0.0064378731655969
"g6221.t1",490.21551832967,1.30220668718873,0.339168610791301,3.83940802820934,0.000123331318538005,0.00661378603524366
"g7429.t1",497.37668133369,-2.59461773181097,0.676125578376134,-3.83747903465289,0.00012430384312379,0.00663493443576102
"g2695.t1",685.615320601653,-2.22362372074143,0.580091893587009,-3.83322667550413,0.000126473312080493,0.00668851488219232
"g6485.t2",2046.63424516552,-2.24973815871924,0.586779466372099,-3.83404377223486,0.000126053695127763,0.00668851488219232
"g2959.t1",427.099207343687,-5.9205579289345,1.5464399117272,-3.82850822979724,0.00012892232080043,0.00678675483259511
"g10867.t1",490.326922785749,-6.09098671701832,1.59269013158783,-3.82433883165078,0.000131123486283269,0.0068711101761954
"g14834.t1",147.859888015546,-10.8583334388004,2.84284008924886,-3.81953718742915,0.000133702302155199,0.00697439827060481
"g12169.t1",30715.9749075065,-2.31648789030668,0.607584505553428,-3.81261844094703,0.000137502300549099,0.00714016471086634
"g10218.t1",17.9326152221682,5.70561836028139,1.49813969121292,3.80846885890997,0.000139829951975528,0.00722832670662685
"g13568.t1",81062.8929999333,-0.746158912371291,0.196292958746906,-3.80125154327805,0.000143967054581571,0.00740881577748029
"g9836.t1",123.743454064686,-10.6017363895971,2.79579083139739,-3.79203489421921,0.000149417912808765,0.00765499985443479
"g13463.t1",2529.48687070546,1.2230367417908,0.323380696361503,3.78203385530343,0.000155552199658345,0.00793385352568516
"g11875.t1",6.18464835421415,5.42464761482951,1.43850256665718,3.77103784210507,0.000162570015265821,0.0082187378642756
